Folha;Data_Contabil;Data_Lancamento;Historico;Detalhe;Lote;Banco;Origem;Documento;Valor;Tipo;Saldo;Eh_Cheque;Notas
1/1;05.08.2020;;870-Transferência recebida;05/08 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;4.000,00;C;;Nao;
1/1;05.08.2020;;870-Transferência recebida;05/08 1765     14677-3 PM CENTENARIO;99015;;;551765000014677;4.000,00;C;;Nao;
1/1;05.08.2020;;345-BB CP Automatico S Publico;;;;;070;8.000,00;D;0,00 C;Nao;
1/1;06.08.2020;;870-Transferência recebida;06/08 1765     12930-5 PM CENT DO SUL;99015;;;551765000012930;3.000,00;C;;Nao;
1/1;06.08.2020;;002-Cheque;;12162;;;851817;3.850,00;D;;Sim;
1/1;06.08.2020;;002-Cheque;;19222;;;851818;2.830,00;D;;Sim;
1/1;06.08.2020;;855-BB CP Automatico S Publico;;;;;070;3.680,00;C;0,00 C;Nao;
1/1;10.08.2020;;102-Cheque Compensado;;13079;104;1981;851812;432,00;D;;Sim;
1/1;10.08.2020;;855-BB CP Automatico S Publico;;;;;070;432,00;C;0,00 C;Nao;
1/1;18.08.2020;;002-Cheque;;12162;;;851819;2.847,21;D;;Sim;
1/1;18.08.2020;;855-BB CP Automatico S Publico;;;;;070;2.847,21;C;0,00 C;Nao;
1/1;20.08.2020;;870-Transferência recebida;20/08 1765     8004-7 PREF MUN DESE;99015;;;551765000008004;1.800,00;C;;Nao;
1/1;20.08.2020;;345-BB CP Automatico S Publico;;;;;070;1.800,00;D;0,00 C;Nao;
1/1;24.08.2020;;002-Cheque;;19222;;;851820;3.000,00;D;;Sim;
1/1;24.08.2020;;855-BB CP Automatico S Publico;;;;;070;3.000,00;C;0,00 C;Nao;
1/1;31.03.2020;;Saldo anterior;;;;;;;;0,00 C;Nao;
1/1;03.04.2020;;976-TED-Crédito em Conta;104 1148 75845503000167 PREF MUN CENTE;14175;;;2743252;3.800,00;C;;Nao;
1/1;03.04.2020;;002-Cheque;;19222;;;851799;3.330,89;D;;Sim;
1/1;03.04.2020;;345-BB CP Automatico S Publico;;;;;070;469,11;D;0,00 C;Nao;
1/1;13.04.2020;;976-TED-Crédito em Conta;104 1148 75845503000167 PREF MUN CENTE;14175;;;1514880;4.600,00;C;;Nao;
1/1;13.04.2020;;002-Cheque;;19222;;;851800;4.600,00;D;;Sim;
1/1;13.04.2020;;102-Cheque Compensado;;13079;237;1981;851798;406,00;D;;Sim;
1/1;13.04.2020;;855-BB CP Automatico S Publico;;;;;070;406,00;C;0,00 C;Nao;
1/1;27.04.2020;;870-Transferência recebida;27/04 1765     8004-7 PREF MUN DESE;99015;;;551765000008004;4.000,00;C;;Nao;
1/1;27.04.2020;;002-Cheque;;12162;;;141321;3.980,45;D;;Sim;
1/1;27.04.2020;;345-BB CP Automatico S Publico;;;;;070;19,55;D;0,00 C;Nao;
4/4;21.06.2022;;870-Transferência recebida;21/06 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;1.600,00;C;;Nao;
4/4;21.06.2022;;870-Transferência recebida;21/06 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
4/4;21.06.2022;;002-Cheque;21/06 00:00 CENTENARIO DO SUL   PR;12162;;;852137;2.200,00;D;;Sim;
4/4;21.06.2022;;002-Cheque;21/06 00:00 CENTENARIO DO SUL   PR;12162;;;852138;2.800,00;D;;Sim;
4/4;21.06.2022;;271-BB-APLIC C.PRZ-APL.AUT;;;;;1972;4.500,00;D;0,00 C;Nao;
4/4;22.06.2022;;870-Transferência recebida;22/06 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;2.000,00;C;;Nao;
4/4;22.06.2022;;870-Transferência recebida;22/06 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;1.600,00;C;;Nao;
4/4;22.06.2022;;870-Transferência recebida;22/06 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;2.000,00;C;;Nao;
4/4;22.06.2022;;102-Cheque Compensado;;13079;104;1981;852139;3.500,00;D;;Sim;
4/4;22.06.2022;;102-Cheque Compensado;;13079;1;1981;852140;4.600,00;D;;Sim;
4/4;22.06.2022;;848-Resgate Automático;;;;;1972;2.500,00;C;0,00 C;Nao;
5/5;29.04.2022;;870-Transferência recebida;29/04 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;800,00;C;;Nao;
5/5;29.04.2022;;870-Transferência recebida;29/04 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;1.170,00;C;;Nao;
5/5;29.04.2022;;870-Transferência recebida;29/04 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;980,00;C;;Nao;
5/5;29.04.2022;;002-Cheque;29/04 00:00 CENTENARIO DO SUL   PR;12162;;;852118;5.200,00;D;;Sim;
5/5;29.04.2022;;002-Cheque;29/04 00:00 CENTENARIO DO SUL   PR;12162;;;852119;900,00;D;;Sim;
5/5;29.04.2022;;002-Cheque;29/04 00:00 CENTENARIO DO SUL   PR;12162;;;852120;4.180,00;D;;Sim;
5/5;29.04.2022;;855-BB CP Automatico S Publico;;;;;070;5.680,00;C;0,00 C;Nao;
5/5;31.03.2022;;870-Transferência recebida;31/03 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;2.150,00;C;;Nao;
5/5;31.03.2022;;870-Transferência recebida;31/03 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;940,00;C;;Nao;
5/5;31.03.2022;;870-Transferência recebida;31/03 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;2.780,00;C;;Nao;
5/5;31.03.2022;;870-Transferência recebida;31/03 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;2.150,00;C;;Nao;
5/5;31.03.2022;;345-BB CP Automatico S Publico;;;;;070;8.020,00;D;0,00 C;Nao;
5/5;25.02.2022;;870-Transferência recebida;25/02 1765     8004-7 PREF MUN DESE;99015;;;551765000008004;2.180,00;C;;Nao;
5/5;25.02.2022;;002-Cheque;25/02 00:00 CENTENARIO DO SUL   PR;12162;;;852071;3.500,00;D;;Sim;
5/5;25.02.2022;;002-Cheque;25/02 00:00 CENTENARIO DO SUL   PR;12162;;;852073;1.800,00;D;;Sim;
5/5;25.02.2022;;002-Cheque;25/02 00:00 CENTENARIO DO SUL   PR;12162;;;852074;2.180,00;D;;Sim;
5/5;25.02.2022;;855-BB CP Automatico S Publico;;;;;070;3.500,00;C;0,00 C;Nao;
3/3;20.01.2022;;345-BB CP Automatico S Publico;;;;;070;2.200,00;D;0,00 C;Nao;
3/3;24.01.2022;;870-Transferência recebida;24/01 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;2.500,00;C;;Nao;
3/3;24.01.2022;;002-Cheque;24/01 00:00 CENTENARIO DO SUL   PR;10976;;;852013;3.000,00;D;;Sim;
3/3;24.01.2022;;102-Cheque Compensado;;13079;341;1981;852015;3.820,00;D;;Sim;
3/3;24.01.2022;;855-BB CP Automatico S Publico;;;;;070;4.320,00;C;0,00 C;Nao;
3/3;27.01.2022;;870-Transferência recebida;27/01 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;3.250,00;C;;Nao;
3/3;27.01.2022;;102-Cheque Compensado;;13079;1;1981;852016;3.250,00;D;0,00 C;Sim;
3/3;31.01.2022;;870-Transferência recebida;31/01 1765     3519-X PREF MUNIC CEN;99015;;;551765000003519;3.215,00;C;;Nao;
3/3;31.01.2022;;102-Cheque Compensado;;13079;1;1981;852018;3.115,00;D;;Sim;
3/3;31.01.2022;;345-BB CP Automatico S Publico;;;;;070;100,00;D;0,00 C;Nao;
4/4;26.11.2021;;855-BB CP Automatico S Publico;;;;;070;1.047,00;C;0,00 C;Nao;
